[00:00:00,400 --> 00:00:06,880] so this is a process document for assembling the defender chassis components all in it
[00:00:06,880 --> 00:00:15,760] first of all we've got uh these shock absorber mounts there's three bolts all them 12 brand
[00:00:15,760 --> 00:00:23,120] new ones that we have on the shelf just worth fasteners um i think they m12 by 110 millimeters
[00:00:23,120 --> 00:00:32,080] and they talk to 90 newton meters the these are also sorry these are imperial ones that come
[00:00:32,080 --> 00:00:38,400] here these are imperial ones that come from pretty shorter parts they have part number um the
[00:00:38,400 --> 00:00:46,960] the front two on these brackets which you can see here the front two this one and that one
[00:00:46,960 --> 00:00:52,480] are longer than the rear ones and as you can see they are with the nut facing down
[00:00:53,440 --> 00:00:59,920] the ones on the front of that bracket the nuts face up and they are all
[00:00:59,920 --> 00:01:05,200] 90 newton meters as well to talk to sorry 81 newton meters for those not 19 meters
[00:01:05,200 --> 00:01:15,760] these are the uh bush uh bolts they are m10 m12s i believe um they're also from pretty
[00:01:15,760 --> 00:01:21,920] shorter parts they have a part number uh they are 90 newton meters as well same on the other side
[00:01:23,120 --> 00:01:31,040] um these bushes uh come from the bush comes from super pro same as the other ones but the
[00:01:31,040 --> 00:01:40,080] they're just a press fit they just pop in the steering box has four m12 bolts that go through
[00:01:40,080 --> 00:01:46,800] and into there they are also off the shelf from us 10.9 grade they are torqued to 81 newton meters
[00:01:46,800 --> 00:01:52,480] same with these bolts under here 81 newton meters i've reused the original ones m12
[00:01:53,120 --> 00:01:58,800] fasteners do not fit through this gap so they are the original imperial size
[00:01:58,800 --> 00:02:06,880] this is also part of that same bracket and this is also part of that same bracket and is 81 newton
[00:02:06,880 --> 00:02:12,960] meters these are 90 newton meters these two long bolts that go all the way through the chassis
[00:02:12,960 --> 00:02:22,640] 90 newton meters these fasteners around the hat tops the shop absorber um what do you call towers
[00:02:23,920 --> 00:02:30,880] quite fragile so don't over tighten them i think they're 30 new 40 newton meters check the spec on
[00:02:30,880 --> 00:02:40,240] that um the rest of it i'll do another process document before got all the parts here that are
[00:02:40,240 --> 00:02:51,440] going together the there's more to come all the uh all the new super pro bushes in these are gonna be
[00:02:53,040 --> 00:02:58,240] a little bit different than the old ones and they're going to be a little bit different than
[00:02:58,240 --> 00:03:01,200] the old ones so they're going to be a little bit different than the old ones so they're going to be
[00:03:01,200 --> 00:03:03,200] a little bit different than the old ones so they're going to be a little bit different than the old ones
[00:03:03,200 --> 00:03:05,200] so they're going to be a little bit different than the old ones so they're going to be a little bit
[00:03:05,200 --> 00:03:07,200] different than the old ones so they're going to be a little bit different than the old ones
[00:03:07,200 --> 00:03:09,120] so they're going to be a little bit different than the old ones so they're going to be a little bit
[00:03:09,120 --> 00:03:11,200] different than the old ones so they're going to be a little bit different than the old ones
[00:03:11,200 --> 00:03:13,200] so they're going to be a little bit different than the old ones so they're going to be a little bit
[00:03:13,200 --> 00:03:15,200] different than the old ones so they're going to be a little bit different than the old ones
[00:03:15,200 --> 00:03:17,200] so they're going to be a little bit different than the old ones so they're going to be a little bit
[00:03:17,200 --> 00:03:19,200] different than the old ones so they're going to be a little bit different than the old ones so they're
[00:03:19,200 --> 00:03:21,200] going to be a little bit different than the old ones so they're going to be a little bit different than the old ones
[00:03:21,200 --> 00:03:23,200] so they're going to be a little bit different than the old ones so they're going to be a little bit
[00:03:23,200 --> 00:03:25,200] different than the old ones so they're going to be a little bit different than the old ones so they're
[00:03:25,200 --> 00:03:27,200] going to be a little bit different than the old ones so they're going to be a little bit different than the old ones
[00:03:27,200 --> 00:03:29,200] so they're going to be a little bit different than the old ones so they're going to be a little bit different than the old ones
[00:03:29,200 --> 00:03:31,200] so they're going to be a little bit different than the old ones so they're going to be a little bit different than the old ones
[00:03:31,200 --> 00:03:51,200] so they're going to be a little bit different than the old ones so they're going to be a little bit different than the old ones
[00:03:51,200 --> 00:03:53,440] so they're going to be a little bit different than the old ones so they're going to be a little bit different than the old ones
